Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
549821,Mrs.,Jeffrey,C,Murakami,F,jeffrey.murakami@gmail.com,Alex Murakami,Kimberly Murakami,Bona,10/7/1991,12:02:19 PM,28.92,41,1/15/2014,Q1,H1,2014,1,January,Jan,15,Wednesday,Wed,6.63,147611,21%,369-39-9432,201-249-9935,Cherry Hill,Cherry Hill,Cherry Hill,NJ,8358,Northeast,jcmurakami,0D{CHoG&
429350,Mr.,Shelby,D,Davidson,M,shelby.davidson@verizon.net,Fredrick Davidson,Briana Davidson,Whitford,10/21/1964,07:47:10 PM,55.9,56,1/22/1989,Q1,H1,1989,1,January,Jan,22,Sunday,Sun,31.63,61355,19%,096-02-5763,209-425-0529,Santa Barbara,Santa Barbara,Santa Barbara,CA,93111,West,sddavidson,QJfX;i[}SXs?
702166,Drs.,Wen,P,Russo,F,wen.russo@yahoo.com,Laurence Russo,Jeri Russo,Montero,9/4/1994,10:20:42 AM,26.01,60,5/24/2019,Q2,H1,2019,5,May,May,24,Friday,Fri,1.28,104173,10%,296-15-2363,203-458-6318,Fairfield,Fairfield,Fairfield,CT,6431,Northeast,wprusso,6I2Fz!$\+;VA
982838,Prof.,Aaron,Q,Delima,M,aaron.delima@gmail.com,Napoleon Delima,Marketta Delima,Mcafee,3/6/1968,08:32:09 PM,52.53,87,9/1/2007,Q3,H2,2007,9,September,Sep,1,Saturday,Sat,13.01,133561,12%,733-26-3449,208-531-5723,Kooskia,Idaho,Kooskia,ID,83539,West,aqdelima,klm*VtJ4xz9It|x
565681,Mr.,Frederic,M,Christofferso,M,frederic.christofferso@microsoft.com,Monty Christofferso,Saran Christofferso,Zullo,7/28/1975,01:23:58 AM,45.13,56,6/19/2008,Q2,H1,2008,6,June,Jun,19,Thursday,Thu,12.21,81871,24%,472-57-3360,480-340-3150,Tucson,Pima,Tucson,AZ,85713,West,fmchristofferso,y4+LTJSEf
931466,Hon.,Billie,M,Lachapelle,M,billie.lachapelle@aol.com,Byron Lachapelle,Natividad Lachapelle,Sipes,9/16/1974,01:04:11 PM,45.99,77,12/25/1997,Q4,H2,1997,12,December,Dec,25,Thursday,Thu,22.7,197518,15%,590-99-8812,208-864-7893,Elba,Elba,Elba,ID,83326,West,bmlachapelle,x9L}whJ~E
435618,Mrs.,Roseline,M,Bach,F,roseline.bach@comcast.net,Vincenzo Bach,Dimple Bach,Duncan,6/24/1964,11:38:19 AM,56.23,45,7/20/2017,Q3,H2,2017,7,July,Jul,20,Thursday,Thu,3.12,78851,13%,354-08-9157,201-662-5551,Rochelle Park,Bergen,Rochelle Park,NJ,7662,Northeast,rmbach,2T4U#POymZDs/
951970,Ms.,Jerlene,H,Chalk,F,jerlene.chalk@hotmail.com,Dana Chalk,Lenora Chalk,Ruhl,8/27/1986,03:50:18 AM,34.04,40,5/11/2017,Q2,H1,2017,5,May,May,11,Thursday,Thu,3.31,60036,9%,626-85-8710,505-292-1926,Blanco,San Juan,Blanco,NM,87412,West,jhchalk,d&JnbYl5%>x{[
705378,Drs.,Marcella,Q,Payan,F,marcella.payan@rediffmail.com,Bruno Payan,Shayla Payan,Hardwick,8/4/1986,06:45:55 AM,34.1,60,12/24/2018,Q4,H2,2018,12,December,Dec,24,Monday,Mon,1.69,150923,29%,722-18-7710,217-956-9427,Saint Joseph,Champaign,Saint Joseph,IL,61873,Midwest,mqpayan,9+/?oogkGHxw
593321,Mrs.,Sylvie,X,Pautz,F,sylvie.pautz@cox.net,Zackary Pautz,Renea Pautz,Rizo,10/7/1962,08:37:35 AM,57.94,60,2/10/1985,Q1,H1,1985,2,February,Feb,10,Sunday,Sun,35.58,164933,19%,116-98-0984,314-470-5988,Moundville,Vernon,Moundville,MO,64771,Midwest,sxpautz,NHR&enMO4Uc>Vx?
540547,Mr.,Osvaldo,S,Swayne,M,osvaldo.swayne@gmail.com,Lou Swayne,Leda Swayne,Molloy,5/8/1987,08:43:24 PM,33.34,77,1/26/2013,Q1,H1,2013,1,January,Jan,26,Saturday,Sat,7.6,172895,10%,259-99-5850,314-764-6462,Clarkton,Dunklin,Clarkton,MO,63837,Midwest,osswayne,r&M@UgQ;/DLhA
921254,Mr.,Devon,E,Kehoe,M,devon.kehoe@cox.net,Ty Kehoe,Emmie Kehoe,Cumming,8/16/1962,01:18:27 PM,58.08,58,3/30/2009,Q1,H1,2009,3,March,Mar,30,Monday,Mon,11.43,149039,29%,633-31-3368,236-394-6533,Norfolk,Norfolk (city),Norfolk,VA,23508,South,dekehoe,2q^fn*pFbi
167533,Ms.,Brigette,G,Tong,F,brigette.tong@hotmail.co.uk,Rod Tong,Mikki Tong,Dunkelberger,3/9/1962,08:43:36 PM,58.52,53,3/27/2006,Q1,H1,2006,3,March,Mar,27,Monday,Mon,14.44,90517,2%,069-02-9441,316-695-9121,Falun,Saline,Falun,KS,67442,Midwest,bgtong,S9dggqx724!a_
763494,Dr.,Mauricio,F,Ryles,M,mauricio.ryles@hotmail.com,Max Ryles,April Ryles,Hoyle,11/26/1988,06:43:30 AM,31.79,85,9/10/2018,Q3,H2,2018,9,September,Sep,10,Monday,Mon,1.98,86345,7%,528-99-4896,803-948-3291,Lexington,Lexington,Lexington,SC,29071,South,mfryles,r5jR@T55ml
137884,Hon.,Fidela,N,Norden,F,fidela.norden@sbcglobal.net,Simon Norden,Rivka Norden,Southall,1/13/1979,05:48:04 AM,41.66,57,1/26/2003,Q1,H1,2003,1,January,Jan,26,Sunday,Sun,17.61,108071,30%,231-99-6040,239-373-5653,Ponte Vedra,Ponte Vedra,Ponte Vedra,FL,32081,South,fnnorden,l[z[b9au
250120,Hon.,Isaias,A,Dibenedetto,M,isaias.dibenedetto@earthlink.net,Riley Dibenedetto,Mabelle Dibenedetto,Metzler,4/19/1995,05:16:08 PM,25.39,85,7/19/2017,Q3,H2,2017,7,July,Jul,19,Wednesday,Wed,3.12,165266,0%,396-33-9809,505-954-4274,San Acacia,Socorro,San Acacia,NM,87831,West,iadibenedetto,RWARv\ix70Z~_
929416,Mr.,Landon,K,Stolz,M,landon.stolz@gmail.com,Del Stolz,Thelma Stolz,Isabel,10/2/1976,09:05:51 PM,43.95,63,3/16/2009,Q1,H1,2009,3,March,Mar,16,Monday,Mon,11.47,136563,11%,552-99-0044,217-983-5084,Oswego,Kendall,Oswego,IL,60543,Midwest,lkstolz,cEGCVmwm
